Identifier;DimensionGroupId;DimensionId;Index;Title;Description
1050010;1;KenmerkenVanHuishoudens;1;Particuliere huishoudens;Eén of meer personen die samen een woonruimte bewonen en zichzelf, dus niet-bedrijfsmatig, voorzien in de dagelijkse levensbehoeften.
1050015;2;KenmerkenVanHuishoudens;2;Type: Eenpersoonshuishouden;"Particulier huishouden bestaande uit één persoon.

Tot eenpersoonshuishoudens, ook wel alleenstaanden genoemd, worden ook personen gerekend die met anderen op eenzelfde adres wonen maar een eigen huishouding voeren. Alleenstaanden worden in alle burgerlijke staten aangetroffen; zo kunnen gehuwden na het stuklopen van hun relatie (in afwachting van een scheiding) alleen wonen."
1016010;2;KenmerkenVanHuishoudens;3;Type: Meerpersoonshuishouden;Een particulier huishouden bestaande uit twee of meer personen.
1050190;2;KenmerkenVanHuishoudens;4;Type: Eenoudergezin;Particulier huishouden bestaande uit één ouder met één of meer thuiswonende kinderen.
1050055;2;KenmerkenVanHuishoudens;5;Type: Paar, totaal;"Meerpersoonshuishouden bestaande uit een paar met of zonder thuiswonend(e) kind(eren)



Meerpersoonshuishouden:

Een particulier huishouden bestaande uit twee of meer personen.



Paar:

Twee op basis van huwelijk, partnerschapsregistratie of samenwoonrelatie bij elkaar behorende personen.



Thuiswonend kind:

Persoon ongeacht leeftijd of burgerlijke staat die een kind-ouder relatie heeft met één of twee tot het huishouden behorende ouders.

Onder thuiswonende kinderen worden ook begrepen adoptie- en stiefkinderen maar geen pleegkinderen."
1017780;2;KenmerkenVanHuishoudens;6;Type: Paar, zonder kind;"Meerpersoonshuishouden bestaande uit een paar zonder thuiswonend(e) kind(eren)



Meerpersoonshuishouden:

Een particulier huishouden bestaande uit twee of meer personen.



Paar:

Twee op basis van huwelijk, partnerschapsregistratie of samenwoonrelatie bij elkaar behorende personen.



Thuiswonend kind:

Persoon ongeacht leeftijd of burgerlijke staat die een kind-ouder relatie heeft met één of twee tot het huishouden behorende ouders.

Onder thuiswonende kinderen worden ook begrepen adoptie- en stiefkinderen maar geen pleegkinderen."
1016090;2;KenmerkenVanHuishoudens;7;Type: Paar, met kind(eren);"Meerpersoonshuishouden bestaande uit een paar met (een) thuiswonend(e) kind(eren)



Meerpersoonshuishouden:

Een particulier huishouden bestaande uit twee of meer personen.



Paar:

Twee op basis van huwelijk, partnerschapsregistratie of samenwoonrelatie bij elkaar behorende personen.



Thuiswonend kind:

Persoon ongeacht leeftijd of burgerlijke staat die een kind-ouder relatie heeft met één of twee tot het huishouden behorende ouders.

Onder thuiswonende kinderen worden ook begrepen adoptie- en stiefkinderen maar geen pleegkinderen."
1050220;2;KenmerkenVanHuishoudens;8;Type: Meerpersoonshuishouden, overig;Particulier huishouden waarvan nog andere personen dan de hoofdkostwinner of referentiepersoon en zijn/haar eventuele partner en/of inwonende kinderen deel uitmaken. Het gaat hier bijvoorbeeld om huishoudens met inwonende verwanten.
A025340;3;KenmerkenVanHuishoudens;9;Hoofdkostwinner: tot 25 jaar;De hoofdkostwinner is de persoon in het huishouden met de belangrijkste sociaaleconomische positie.
A025343;3;KenmerkenVanHuishoudens;10;Hoofdkostwinner: 25 tot 45 jaar;De hoofdkostwinner is de persoon in het huishouden met de belangrijkste sociaaleconomische positie.
